回款单ID	回款日期	客户ID	金额	销售ID
1	2013-9-1	VINET	20	2
2	2013-7-29	TOMSP	112	9
3	2013-7-19	HANAR	29	9
4	2013-9-9	VICTE	270	9
5	2013-10-7	SUPRD	1586	2
6	2013-8-3	HANAR	203	9
7	2013-7-18	CHOPS	351	2
8	2013-9-25	RICSU	1880	8
9	2013-8-21	WELLI	313	7
10	2013-9-6	HILAA	818	7
11	2013-9-13	ERNSH	1596	7
12	2013-7-25	CENTC	11	4
13	2013-7-30	OTTIK	607	7
14	2013-10-17	QUEDE	345	1
15	2013-10-24	RATTC	97	9
16	2013-9-5	ERNSH	1253	7
17	2013-10-8	FOLKO	120	8
18	2013-9-1	BLONP	947	4
19	2013-8-27	WARTH	215	9
20	2013-8-13	FRANK	1533	9
21	2013-8-8	GROSR	876	2
22	2013-10-8	WHITC	335	3
23	2013-8-19	WARTH	12	9
24	2013-9-17	SPLIR	48	7
25	2013-9-13	RATTC	1036	9
26	2013-10-19	QUICK	233	2
27	2013-10-27	VINET	444	2
28	2013-8-17	MAGAA	304	7
29	2013-8-23	TORTU	262	2
30	2013-8-27	MORGK	25	2
31	2013-11-7	BERGS	624	8
32	2013-10-24	LEHMS	401	8
33	2013-9-8	BERGS	596	8
34	2013-11-4	ROMEY	20	2
35	2013-11-2	ROMEY	104	2
36	2013-9-30	LILAS	630	2
37	2013-11-7	LEHMS	634	8
38	2013-9-9	QUICK	1727	2
39	2013-9-26	QUICK	1287	2
40	2013-9-25	RICAR	436	2
41	2013-10-4	REGGC	39	2
42	2013-8-31	BSBEV	217	7
43	2013-9-16	COMMI	81	2
44	2013-11-28	QUEDE	5	1
45	2013-11-19	TRADH	766	9
46	2013-11-17	TORTU	10	2
47	2013-9-24	RATTC	1559	9
48	2013-11-10	VINET	120	2
49	2013-10-6	LILAS	324	2
50	2013-9-15	BLONP	1265	4
51	2013-10-4	HUNGO	1880	2
52	2013-10-31	RICAR	242	2
53	2013-10-8	MAGAA	117	7
54	2013-10-9	WANDK	472	2
55	2013-10-20	SUPRD	430	2
56	2013-10-21	GODOS	343	9
57	2013-11-16	TORTU	567	2
58	2013-12-17	OLDWO	1474	8
59	2013-11-6	ROMEY	388	2
60	2013-11-14	LONEP	107	2
61	2013-11-2	ANATR	9	2
62	2013-10-17	HUNGO	586	2
63	2013-12-18	THEBI	242	9
64	2013-10-26	DUMON	266	3
65	2013-10-22	WANDK	26	2
66	2013-12-9	QUICK	77	2
67	2013-11-24	RATTC	1704	9
68	2013-11-15	ISLAT	107	9
69	2013-12-21	RATTC	2571	9
70	2013-11-23	LONEP	169	2
71	2013-10-8	ISLAT	132	9
72	2013-12-10	TORTU	597	2
73	2013-11-12	WARTH	29	9
74	2014-1-9	ISLAT	59	9
75	2013-11-26	PERIC	44	2
76	2013-10-15	KOENE	134	5
77	2013-11-5	SAVEA	6041	5
78	2013-10-24	KOENE	869	5
79	2013-12-3	BOLID	434	9
80	2013-12-28	FOLKO	2166	8
81	2013-11-23	FURIB	1100	8
82	2013-11-15	SPLIR	1913	7
83	2013-12-6	LILAS	783	2
84	2013-11-17	BONAP	8	5
85	2014-1-2	MEREP	948	4
86	2013-11-30	WARTH	256	9
87	2013-11-6	VICTE	137	9
88	2013-11-15	HUNGO	615	2
89	2014-1-26	PRINI	208	9
90	2013-12-31	FRANK	515	9
91	2013-10-28	OLDWO	192	8
92	2013-12-15	MEREP	2748	4
93	2013-12-28	BONAP	234	5
94	2014-1-31	SIMOB	143	2
95	2013-10-31	FRANK	779	9
96	2014-2-4	LEHMS	1572	8
97	2014-2-4	WHITC	2646	3
98	2013-12-3	QUICK	1222	2
99	2014-1-24	RATTC	1662	9
100	2013-11-11	FAMIA	405	7
101	2013-12-8	WANDK	233	2
102	2013-12-29	SPLIR	39	7
103	2013-12-26	LAMAI	484	2
104	2013-11-18	ERNSH	3358	7
105	2014-1-8	FURIB	37	8
106	2014-1-10	PICCO	3740	3
107	2014-2-2	PERIC	332	2
108	2014-2-2	AROUT	134	7
109	2014-1-26	WANDK	298	2
110	2013-12-8	LILAS	308	2
111	2013-11-26	LAMAI	340	2
112	2014-2-24	SEVES	658	2
113	2013-12-13	BLONP	6029	4
114	2013-12-15	QUICK	170	2
115	2013-12-20	BONAP	1154	5
116	2014-2-5	DRACD	150	9
117	2014-2-11	EASTC	230	2
118	2013-12-27	ANTON	71	9
119	2014-2-7	GALED	15	7
120	2013-12-20	VAFFE	537	7
121	2014-1-23	ERNSH	1182	7
122	2013-12-22	SPLIR	1064	7
123	2014-2-3	CHOPS	1011	2
124	2013-12-9	LAMAI	34	2
125	2014-2-25	QUEEN	4410	1
126	2014-1-16	HUNGO	1389	2
127	2014-1-23	WOLZA	13	2
128	2014-2-20	HUNGC	210	4
129	2014-1-26	MEREP	191	4
130	2014-2-14	SEVES	978	2
131	2014-2-12	FOLKO	11	8
132	2014-1-14	QUEDE	847	1
133	2014-1-23	HUNGO	325	2
134	2014-1-16	LILAS	66	2
135	2014-2-25	ERNSH	1634	7
136	2014-2-25	AROUT	444	7
137	2014-1-2	BERGS	1605	8
138	2013-12-25	SPLIR	19	7
139	2014-1-15	FAMIA	64	7
140	2014-1-17	SANTG	156	5
141	2014-1-19	SEVES	261	2
142	2014-1-6	BOTTM	1284	5
143	2013-12-30	ERNSH	1153	7
144	2014-2-6	DRACD	35	9
145	2013-12-27	PICCO	982	3
146	2014-1-7	SAVEA	2224	5
147	2014-3-11	HUNGC	165	4
148	2014-4-1	HILAA	402	7
149	2014-2-20	FRANK	749	9
150	2014-1-15	PRINI	83	9
151	2014-1-30	SAVEA	1094	5
152	2014-2-28	VAFFE	412	7
153	2014-3-13	EASTC	959	2
154	2014-3-18	RATTC	2871	9
155	2014-2-25	ERNSH	1332	7
156	2014-2-28	ERNSH	723	7
157	2014-2-13	MAGAA	1088	7
158	2014-4-13	LINOD	193	9
159	2014-3-6	QUEEN	1080	1
160	2014-1-10	OTTIK	743	7
161	2014-1-21	FOLIG	561	9
162	2014-1-24	OCEAN	256	9
163	2014-2-16	BOTTM	726	5
164	2014-3-12	BOTTM	360	5
165	2014-2-25	WARTH	216	9
166	2014-2-16	LAMAI	635	2
167	2014-2-4	FAMIA	221	7
168	2014-4-13	HUNGC	98	4
169	2014-3-2	WARTH	188	9
170	2014-4-1	SIMOB	2002	2
171	2014-2-6	QUICK	965	2
172	2014-4-16	RICSU	380	8
173	2014-3-3	WELLI	1021	7
174	2014-2-24	QUEDE	956	1
175	2014-4-12	FRANS	23	3
176	2014-3-17	GOURL	381	9
177	2014-1-31	MEREP	3321	4
178	2014-2-18	LAMAI	453	2
179	2014-2-23	GALED	14	7
180	2014-2-28	PICCO	230	3
181	2014-3-5	REGGC	121	2
182	2014-3-2	HUNGO	1374	2
183	2014-2-20	ERNSH	3344	7
184	2014-4-1	BOTTM	1914	5
185	2014-4-9	SPLIR	199	7
186	2014-4-4	PRINI	784	9
187	2014-2-7	FOLKO	305	8
188	2014-2-28	CONSH	381	6
189	2014-4-4	BLONP	1576	4
190	2014-4-29	WARTH	41	9
191	2014-3-30	TOMSP	348	9
192	2014-2-7	MEREP	808	4
193	2014-2-26	SAVEA	2056	5
194	2014-5-19	OLDWO	1208	8
195	2014-3-7	ERNSH	218	7
196	2014-2-24	REGGC	232	2
197	2014-4-13	BERGS	403	8
198	2014-4-23	BERGS	27	8
199	2014-2-23	TOMSP	167	9
200	2014-5-7	RICAR	669	2
201	2014-4-25	RANCH	268	7
202	2014-5-12	BLONP	1043	4
203	2014-5-13	VICTE	415	9
204	2014-5-3	QUICK	432	2
205	2014-3-13	SAVEA	38	5
206	2014-5-28	AROUT	59	7
207	2014-4-14	LAMAI	145	2
208	2014-4-10	WARTH	2264	9
209	2014-4-30	KOENE	255	5
210	2014-5-21	KOENE	1003	5
211	2014-3-3	SUPRD	1923	2
212	2014-3-4	VICTE	1056	9
213	2014-4-14	FOLKO	166	8
214	2014-6-4	LILAS	2026	2
215	2014-5-7	CONSH	61	6
216	2014-4-26	SUPRD	693	2
217	2014-5-14	FURIB	1268	8
218	2014-6-11	VAFFE	1928	7
219	2014-4-11	COMMI	147	2
220	2014-4-10	MAGAA	180	7
221	2014-5-5	KOENE	215	5
222	2014-4-5	WHITC	478	3
223	2014-5-7	BONAP	18	5
224	2014-6-12	BSBEV	997	7
225	2014-6-1	SEVES	242	2
226	2014-4-22	ISLAT	85	9
227	2014-5-1	PERIC	627	2
228	2014-3-27	SUPRD	55	2
229	2014-4-3	HILAA	75	7
230	2014-5-24	PRINI	599	9
231	2014-5-22	VICTE	130	9
232	2014-6-5	RATTC	5967	9
233	2014-3-28	FOLIG	379	9
234	2014-5-16	RICAR	1385	2
235	2014-5-1	LAZYK	130	7
236	2014-4-7	WHITC	483	3
237	2014-7-1	BSBEV	153	7
238	2014-4-21	LINOD	1028	9
239	2014-5-12	HILAA	1192	7
240	2014-5-10	QUEEN	521	1
241	2014-6-29	FRANK	1135	9
242	2014-4-14	PICCO	248	3
243	2014-5-4	HILAA	1541	7
244	2014-5-9	FURIB	226	8
245	2014-4-7	BOTTM	322	5
246	2014-5-8	LAMAI	307	2
247	2014-6-29	COMMI	527	2
248	2014-6-1	LAUGB	173	2
249	2014-4-9	TRADH	179	9
250	2014-4-18	LEHMS	1181	8
251	2014-6-22	HILAA	423	7
252	2014-4-21	LILAS	1353	2
253	2014-6-17	LAMAI	86	2
254	2014-5-30	BLAUS	30	2
255	2014-7-17	PERIC	388	2
256	2014-4-17	HUNGO	768	2
257	2014-5-13	WHITC	1002	3
258	2014-6-21	MEREP	89	4
259	2014-5-23	KOENE	368	5
260	2014-7-11	ANTON	748	9
261	2014-5-26	OTTIK	94	7
262	2014-6-10	BLAUS	38	2
263	2014-4-30	SAVEA	3197	5
264	2014-4-18	BONAP	650	5
265	2014-7-22	FAMIA	433	7
266	2014-5-14	WANDK	114	2
267	2014-5-10	ERNSH	5026	7
268	2014-5-29	QUICK	7150	2
269	2014-7-30	HUNGO	1102	2
270	2014-6-15	NORTS	305	9
271	2014-7-23	TORTU	4021	2
272	2014-7-16	CHOPS	662	2
273	2014-5-23	SANTG	12	5
274	2014-6-14	CACTU	62	4
275	2014-6-8	LEHMS	2042	8
276	2014-6-30	SEVES	1220	2
277	2014-6-16	BERGS	1121	8
278	2014-7-17	BONAP	791	5
279	2014-5-20	WARTH	1210	9
280	2014-5-10	QUICK	759	2
281	2014-8-9	GREAL	307	1
282	2014-6-10	MAISD	104	9
283	2014-6-25	PICCO	3211	3
284	2014-7-31	OCEAN	103	9
285	2014-5-22	EASTC	29	2
286	2014-8-3	FOLKO	406	8
287	2014-8-19	LEHMS	394	8
288	2014-7-18	ANTON	806	9
289	2014-8-19	LEHMS	1208	8
290	2014-5-19	RICSU	223	8
291	2014-5-31	BSBEV	106	7
292	2014-7-15	BSBEV	226	7
293	2014-7-10	QUICK	833	2
294	2014-7-12	HANAR	88	9
295	2014-8-4	KOENE	295	5
296	2014-8-4	LILAS	755	2
297	2014-7-4	LONEP	398	2
298	2014-5-25	LAZYK	134	7
299	2014-7-3	VICTE	1785	9
300	2014-7-25	SEVES	1566	2
301	2014-7-8	TOMSP	233	9
302	2014-9-1	QUICK	3034	2
303	2014-6-2	GODOS	147	9
304	2014-8-7	FURIB	1374	8
305	2014-8-16	HILAA	114	7
306	2014-9-5	WARTH	1127	9
307	2014-7-15	OTTIK	158	7
308	2014-9-2	SAVEA	1840	5
309	2014-8-30	SIMOB	357	2
310	2014-7-15	LEHMS	208	8
311	2014-8-15	AROUT	224	7
312	2014-6-20	BLONP	124	4
313	2014-8-11	FRANK	108	9
314	2014-8-28	FOLKO	634	8
315	2014-8-25	REGGC	286	2
316	2014-8-22	RICAR	421	2
317	2014-6-26	RATTC	895	9
318	2014-7-27	MEREP	76	4
319	2014-9-6	BLONP	1256	4
320	2014-9-16	HUNGO	1545	2
321	2014-9-19	GALED	86	7
322	2014-9-1	RATTC	676	9
323	2014-6-24	MEREP	313	4
324	2014-8-13	ERNSH	90	7
325	2014-9-6	BERGS	364	8
326	2014-9-19	ANTON	1978	9
327	2014-9-9	TRAIH	590	7
328	2014-7-17	MORGK	2034	2
329	2014-9-21	TORTU	10	2
330	2014-7-19	TRAIH	262	7
331	2014-7-28	BSBEV	376	7
332	2014-7-15	LETSS	277	6
333	2014-8-25	OTTIK	442	7
334	2014-9-19	FAMIA	354	7
335	2014-7-17	BLAUS	121	2
336	2014-8-15	WARTH	1725	9
337	2014-9-21	BLONP	434	4
338	2014-10-6	WELLI	86	7
339	2014-9-19	REGGC	6	2
340	2014-8-31	QUEDE	520	1
341	2014-8-30	QUICK	1324	2
342	2014-8-31	GREAL	68	1
343	2014-9-29	MEREP	1073	4
344	2014-7-22	VAFFE	556	7
345	2014-8-20	LEHMS	314	8
346	2014-10-2	LEHMS	2353	8
347	2014-10-6	OLDWO	430	8
348	2014-7-15	ERNSH	1384	7
349	2014-7-14	WHITC	1275	3
350	2014-9-15	PICCO	590	3
351	2014-10-6	RATTC	1888	9
352	2014-8-6	BSBEV	244	7
353	2014-9-15	HUNGC	189	4
354	2014-7-26	HILAA	131	7
355	2014-8-24	VAFFE	43	7
356	2014-7-21	SAVEA	166	5
357	2014-9-5	FURIB	152	8
358	2014-10-22	MEREP	3240	4
359	2014-9-15	TRADH	1351	9
360	2014-10-11	SAVEA	3432	5
361	2014-9-15	TOMSP	664	9
362	2014-8-7	DUMON	114	3
363	2014-8-16	LAMAI	316	2
364	2014-8-26	WOLZA	466	2
365	2014-10-10	SAVEA	5620	5
366	2014-9-10	HILAA	63	7
367	2014-9-24	BLAUS	108	2
368	2014-8-28	WILMK	112	9
369	2014-10-1	GREAL	2504	1
370	2014-10-7	GREAL	1069	1
371	2014-10-3	MEREP	2264	4
372	2014-11-2	MEREP	795	4
373	2014-10-25	LAUGB	48	2
374	2014-9-23	ISLAT	734	9
375	2014-10-19	RICAR	97	2
376	2014-9-5	FRANK	828	9
377	2014-9-27	THECR	1388	9
378	2014-10-13	ANATR	12	2
379	2014-8-20	BERGS	331	8
380	2014-8-15	SAVEA	44	5
381	2014-11-19	BLONP	141	4
382	2014-10-19	GODOS	2278	9
383	2014-8-30	KOENE	31	5
384	2014-10-22	LAMAI	8	2
385	2014-8-26	WANDK	527	2
386	2014-9-10	ERNSH	6279	7
387	2014-9-16	FOLIG	490	9
388	2014-9-10	MAGAA	413	7
389	2014-11-10	WARTH	576	9
390	2014-11-8	QUEEN	543	1
391	2014-9-9	LINOD	2438	9
392	2014-10-21	SANTG	463	5
393	2014-10-22	WANDK	509	2
394	2014-11-24	HILAA	1658	7
395	2014-9-20	SIMOB	343	2
396	2014-9-18	BOLID	747	9
397	2014-9-3	WELLI	1418	7
398	2014-11-29	HANAR	409	9
399	2014-10-8	HUNGO	1042	2
400	2014-10-12	QUEDE	92	1
